type,region,instance,deployment,engine,license,term,purchaseOption,upfront,hourly,daily,adjustedAmortisedHourly,adjustedAmortisedDaily,sku
savings,eu-west-1,db.r5.16xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,6.720000,161.280000,6.720000,161.280000,WRB28J249V3GQS8J
savings,eu-west-1,db.r5.16xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,97448.00,0.000000,0.000000,3.705529,88.932695,WRB28J249V3GQS8J
savings,eu-west-1,db.r5.16xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,49424.00,0.000000,0.000000,5.638147,135.315537,WRB28J249V3GQS8J
savings,eu-west-1,db.r5.16xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,51834.00,1.972400,47.337600,3.943424,94.642186,WRB28J249V3GQS8J
onDemand,eu-west-1,db.r6g.12xlarge,single-az,aurora-postgresql,postgresql,,,,6.874000,164.976000,6.874000,164.976000,WVUH2V54Z38YHJGA
savings,eu-west-1,db.r6g.12xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,33165.00,0.000000,0.000000,3.783368,90.800821,WVUH2V54Z38YHJGA
savings,eu-west-1,db.r6g.12xlarge,single-az,aurora-postgresql,postgresql,1yr,No Upfront,0.00,4.510800,108.259200,4.510800,108.259200,WVUH2V54Z38YHJGA
savings,eu-west-1,db.r6g.12xlarge,single-az,aurora-postgresql,postgresql,1yr,Partial Upfront,16926.00,1.932200,46.372800,3.863069,92.713662,WVUH2V54Z38YHJGA
savings,eu-west-1,db.r6g.12xlarge,single-az,aurora-postgresql,postgresql,3yr,All Upfront,65407.00,0.000000,0.000000,2.487147,59.691535,WVUH2V54Z38YHJGA
savings,eu-west-1,db.r6g.12xlarge,single-az,aurora-postgresql,postgresql,3yr,Partial Upfront,34793.00,1.323900,31.773600,2.646928,63.526281,WVUH2V54Z38YHJGA
onDemand,eu-west-1,db.r6g.xlarge,single-az,aurora-postgresql,postgresql,,,,0.573000,13.752000,0.573000,13.752000,XC3UF43TCQ9F2R72
savings,eu-west-1,db.r6g.xlarge,single-az,aurora-postgresql,postgresql,1yr,All Upfront,2764.00,0.000000,0.000000,0.315309,7.567420,XC3UF43TCQ9F2R72
